Event,Date,Day,Begin,End,Room,Type
Jazzercise,1/2/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/2/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,1/2/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,1/3/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/3/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,1/4/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,1/4/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,1/5/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/6/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,1/7/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,1/7/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,1/7/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,1/7/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,1/8/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/8/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,1/8/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Classical Conversations,1/9/2018,Tu,8:00:00 AM,4:00:00 PM,Whole Building,Home School
Jazzercise,1/9/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
West Circle Meeting,1/9/2018,Tu,11:00:00 AM,1:30:00 PM,Keene Room,CPWM Circle Meeting
Jazzercise,1/9/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,1/9/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,1/10/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/10/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,1/10/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Thursday Connection,1/11/2018,Th,8:00:00 AM,5:00:00 PM,Whole Building,Home School
Jazzercise,1/11/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,1/11/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Friendship Club P.M. Edition Dinner,1/11/2018,Th,6:30:00 PM,7:30:00 PM,Off Site Activity,Friendship Club Event
Jazzercise,1/12/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Youth Convocation,1/12/2018,Fr,6:00:00 PM,11:45:00 PM,Off Site Activity,Youth Group Activity
Youth Convocation,1/13/2018,Sa,12:00:00 AM,11:45:00 PM,Off Site Activity,Youth Group Activity
Jazzercise,1/13/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Youth Convocation,1/14/2018,Su,12:00:00 AM,11:45:00 PM,Off Site Activity,Youth Group Activity
RPC - Worship,1/14/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,1/14/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,1/14/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Jazzercise,1/14/2018,Su,2:30:00 PM,4:00:00 PM,Gym,Outside Group
Youth Convocation,1/15/2018,Mo,12:00:00 AM,11:00:00 AM,Off Site Activity,Youth Group Activity
Jazzercise,1/15/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/15/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,1/15/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,1/15/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
Classical Conversations,1/16/2018,Tu,8:00:00 AM,4:00:00 PM,Whole Building,Home School
Jazzercise,1/16/2018,Tu,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/16/2018,Tu,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,1/16/2018,Tu,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Jazzercise,1/17/2018,We,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/17/2018,We,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Choir Practice,1/17/2018,We,6:30:00 PM,8:00:00 PM,Choir Room,Choir Practice
Thursday Connection,1/18/2018,Th,8:00:00 AM,5:00:00 PM,Whole Building,Home School
Jazzercise,1/18/2018,Th,9:00:00 AM,10:00:00 AM,Gym,Outside Group
Jazzercise,1/18/2018,Th,5:45:00 PM,6:45:00 PM,Gym,Outside Group
Jazzercise,1/19/2018,Fr,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Alicia Garst - ACT Prep,1/19/2018,Fr,9:30:00 AM,1:00:00 PM,Room #26,Outside Group
Jazzercise,1/20/2018,Sa,8:30:00 AM,10:30:00 AM,Gym,Outside Group
RPC - Worship,1/21/2018,Su,8:30:00 AM,9:45:00 AM,Gym,Worship Service
Sunday School,1/21/2018,Su,9:30:00 AM,10:30:00 AM,Whole Building,Sunday School
Worship Service,1/21/2018,Su,10:45:00 AM,12:15:00 PM,Sanctuary,Worship Service
Congregational Meeting ~ Elder Election,1/21/2018,Su,12:30:00 PM,12:45:00 PM,Sanctuary,Congregational Meeting
Jazzercise,1/21/2018,Su,3:30:00 PM,5:00:00 PM,Gym,Outside Group
Jazzercise,1/22/2018,Mo,8:30:00 AM,10:30:00 AM,Gym,Outside Group
Jazzercise,1/22/2018,Mo,4:15:00 PM,5:30:00 PM,Gym,Outside Group
Jazzercise,1/22/2018,Mo,5:45:00 PM,7:00:00 PM,Gym,Outside Group
Bible Study,1/22/2018,Mo,6:30:00 PM,8:00:00 PM,Keene Room,Bible Study
